ATRIBUT;_mean;_median;_stdev;_min;_max
sal_alb_1;1.699734327;2.013806343;0.968967321;-0.014468193;3.940033913
cyt_gran_38;1.163233087;0.839929581;0.841852657;-0.008259773;2.93705368
cyt_gran_21;1.260339648;1.171133995;0.526804751;0.041119576;2.71221447
cyt_gran_54;1.179391235;1.091672897;0.776948623;-0.043007851;2.627677917
cyt_gran_24;0.739333168;0.622704506;0.571627418;-0.0691185;2.547540665
cyt_gran_6;1.126766717;0.872569561;0.560089185;0.50952816;2.32437706
cyt_gran_51;0.857530281;0.799465656;0.430727521;-0.000612259;2.296816826
cyt_gran_13;1.377863466;1.305458069;0.430281256;0.591988564;2.113419533
cyt_gran_28;0.701373151;0.552763939;0.514881711;-0.021072388;2.088382721
18;1.087873363;0.921790123;0.40439883;0.679783821;1.972687721
cyt_gran_20;1.381504446;1.357710838;0.338655319;0.482354164;1.951438904
202;1.71581311;1.81232357;0.190760397;1.286945343;1.926440239
cyt_gran_12;0.994841474;0.936772346;0.267068975;-0.05214119;1.922009468
cyt_gran_39;0.312587493;0.240541458;0.295852135;-0.031541824;1.891906738
1694;1.162733003;1.017098904;0.365977548;0.287867546;1.838410378
cyt_gran_4;0.66627647;0.595568657;0.338781544;0.222249031;1.809195518
1677;1.381834786;1.485933781;0.322795712;0.70486927;1.803147316
cyt_gran_84;0.832441978;0.908587456;0.242816063;0.494085312;1.73590374
cyt_gran_16;0.711227529;0.892173767;0.469794393;-0.054837227;1.7320261
3;0.535087449;0.515375614;0.12617705;0.403162956;1.730829239
que_sub_6;0.496323852;0.397218704;0.40473014;-0.048828125;1.727757454
cyt_gran_61;0.879307539;0.833111763;0.517025529;0.083680153;1.703575134
cyt_gran_68;0.868197317;0.912612915;0.513289578;-0.054748535;1.70343399
1651;1.038656561;1.271994591;0.494480834;-0.051598549;1.703290939
1652;0.811711914;0.764978886;0.402389496;0.181705475;1.701223373
1689;0.894589406;1.322107315;0.632134584;-0.05665493;1.684542656
cyt_gran_50;0.961155507;0.82316494;0.258514281;0.699483871;1.643641472
cyt_gran_73;0.875477787;0.940366268;0.366409611;-0.121320724;1.640871048
que_sub_8;0.872540012;1.064414978;0.627783053;-0.031507492;1.627906799
1676;0.968379149;0.944098473;0.269833195;0.591080666;1.574968338
160;1.028530843;0.950088501;0.342749284;0.398712158;1.550592422
179;0.955673509;1.136084557;0.454553623;-0.05314064;1.540905952
umb_2;0.81623396;0.454408646;0.463996976;0.338942528;1.540752411
hal_com_170;0.860465598;0.80290699;0.278709005;0.472513199;1.540489197
5;1.016352311;1.019187927;0.286261214;0.358660698;1.512155533
pin_pin_5;0.753452267;0.754623413;0.242979175;-0.057065964;1.509693146
170;0.61780014;0.57276392;0.360434908;-0.057932854;1.50313282
cyt_gran_35;0.553062167;0.602824688;0.347764554;-0.053085327;1.499324799
cyt_gran_37;0.935190384;1.219639778;0.449432041;0.380031586;1.494849205
155;0.720776846;0.712656975;0.285216064;0.330339432;1.487679482
lav_sto_5;0.53153247;0.512381554;0.099147578;0.374966621;1.479096413
hal_com_153;0.718804014;0.689634323;0.112111108;0.594251633;1.442943573
hal_com_144;0.740838132;0.5944314;0.293477536;0.448257446;1.437925339
180;0.595575481;0.497907639;0.243528856;0.083307266;1.377867699
cyt_gran_7;0.787350075;0.804668903;0.239283747;0.246157646;1.354419708
1648;1.043016559;1.032079697;0.196631343;0.412856102;1.353450775
176;0.924950453;0.900488853;0.260775134;0.555086136;1.351287842
cyt_gran_2;0.751144771;0.69254446;0.201871247;0.42905426;1.329333305
cyt_gran_15;1.180282564;1.164496422;0.082825592;0.985696793;1.329110146
187;0.820736419;0.87199688;0.176937366;0.465102196;1.309736252
188;0.875854962;0.868632317;0.208076272;0.561462402;1.304732323
cyt_gran_49;0.777686806;0.795772076;0.204143166;0.358099937;1.302743912
1649;0.69737685;0.593729973;0.306119871;0.320391655;1.301830292
1693;0.848700139;0.791665077;0.140684323;0.640440941;1.298762321
cis_lib_1;0.927679992;0.865346909;0.148411518;0.678616524;1.295617104
1646;0.590702452;0.621191502;0.23661855;0.022679329;1.281716347
cyt_gran_55;0.337576004;0.257894516;0.292853733;-0.064939499;1.277672768
cyt_gran_5;0.509996318;0.557080269;0.296090387;-0.025143623;1.277629852
1675;0.610508129;0.637773514;0.265993046;-0.053243637;1.275652885
1653;0.623221554;0.559069157;0.334958052;-0.030132294;1.269911766
1698;0.806781369;0.793567657;0.148569739;0.609761238;1.269321442
jun_sp_1;1.033553289;1.026321411;0.127735263;0.09743309;1.249335289
cyt_gran_52;0.443515243;0.385793686;0.157803241;0.23415184;1.245202065
1639;0.79030454;0.766592026;0.130335253;0.646893501;1.239409447
cyt_gran_62;0.496816211;0.436667442;0.29493528;-0.044057846;1.232676506
183;0.818749485;0.760401726;0.200552899;0.491219521;1.221054077
cyt_gran_70;1.000128512;1.033282757;0.125171283;0.13399601;1.204673767
cyt_gran_78;0.795953509;0.704937458;0.153567603;0.616313934;1.204522133
hal_com_167;0.779559646;0.739956856;0.089378627;0.682097435;1.19692421
lav_sto_4;0.735703158;0.710052013;0.074211883;0.663059235;1.185660362
1696;0.518340135;0.571211815;0.25348213;0.047864914;1.177490234
cyt_gran_74;0.789515833;0.769599915;0.232571068;0.451273918;1.174129486
169;0.645573025;0.593759537;0.149005638;0.468937874;1.171792984
185;0.711321987;0.686471939;0.220195331;0.283500671;1.162370682
hal_com_177;0.824532663;0.759236336;0.155195107;0.616996765;1.155138016
184;0.752615249;0.847354889;0.233484132;0.327840805;1.141023636
cyt_gran_14;0.856153279;0.835494041;0.120030882;0.688184738;1.133073807
1690;0.80780107;0.794103622;0.09701202;0.57700634;1.132772446
8;1.035855407;1.027143478;0.037365357;0.93764019;1.132677078
cyt_gran_23;0.703623681;0.686113834;0.232256578;0.249607086;1.130369186
cyt_gran_40;0.652733924;0.791830063;0.318234326;-0.024551392;1.125044823
1636;0.664581279;0.936142921;0.470066173;-0.003627777;1.124623299
