ATRIBUT;Species
1;Hal_hal
10;Hal_hal
11;Hal_hal
12;Hal_hal
120;Hal_hal
121;Hal_hal
123;Hal_hal
125;Hal_hal
126;Hal_hal
127;Hal_hal
128;Hal_hal
129;Hal_hal
13;Hal_hal
130;Hal_hal
131;Hal_hal
132;Hal_hal
133;Hal_hal
134;Hal_hal
136;Hal_hal
137;Hal_hal
138;Hal_hal
139;Hal_hal
14;Hal_hal
142;Hal_hal
143;Hal_hal
145;Hal_hal
146;Hal_hal
148;Hal_hal
149;Hal_hal
15;Hal_hal
150;Hal_hal
151;Hal_hal
152;Hal_hal
153;Hal_hal
154;Hal_hal
155;Hal_hal
156;Hal_hal
157;Hal_hal
158;Hal_hal
16;Hal_hal
160;Hal_hal
161;Hal_hal
163;Hal_hal
1636;Hal_hal
1639;Hal_hal
164;Hal_hal
1640;Hal_hal
1641;Hal_hal
1642;Hal_hal
1643;Hal_hal
1644;Hal_hal
1645;Hal_hal
1646;Hal_hal
1647;Hal_hal
1648;Hal_hal
1649;Hal_hal
165;Hal_hal
1650;Hal_hal
1651;Hal_hal
1652;Hal_hal
1653;Hal_hal
1654;Hal_hal
1655;Hal_hal
1656a;Hal_hal
1656b;Hal_hal
1657;Hal_hal
1658;Hal_hal
1659;Hal_hal
166;Hal_hal
1660;Hal_hal
1661;Hal_hal
1662;Hal_hal
1663;Hal_hal
1664;Hal_hal
1665;Hal_hal
1666;Hal_hal
1667;Hal_hal
1669;Hal_hal
1670;Hal_hal
1671;Hal_hal
1672;Hal_hal
1673;Hal_hal
1674;Hal_hal
1675;Hal_hal
1676;Hal_hal
1677;Hal_hal
1678;Hal_hal
1679;Hal_hal
168;Hal_hal
1680;Hal_hal
1681;Hal_hal
1682;Hal_hal
1683;Hal_hal
1684;Hal_hal
1685;Hal_hal
1686;Hal_hal
1687;Hal_hal
1688;Hal_hal
1689;Hal_hal
169;Hal_hal
1690;Hal_hal
1691;Hal_hal
1692;Hal_hal
1693;Hal_hal
1694;Hal_hal
1696;Hal_hal
1697;Hal_hal
1698;Hal_hal
17;Hal_hal
170;Hal_hal
1700;Hal_hal
171;Hal_hal
175;Hal_hal
176;Hal_hal
177;Hal_hal
178;Hal_hal
179;Hal_hal
18;Hal_hal
180;Hal_hal
181;Hal_hal
182;Hal_hal
183;Hal_hal
184;Hal_hal
185;Hal_hal
186;Hal_hal
187;Hal_hal
188;Hal_hal
189;Hal_hal
19;Hal_hal
190;Hal_hal
191;Hal_hal
192;Hal_hal
193;Hal_hal
194;Hal_hal
195;Hal_hal
196;Hal_hal
197;Hal_hal
198;Hal_hal
199;Hal_hal
2;Hal_hal
20;Hal_hal
200;Hal_hal
201;Hal_hal
202;Hal_hal
3;Hal_hal
4;Hal_hal
5;Hal_hal
6;Hal_hal
7;Hal_hal
8;Hal_hal
9;Hal_hal
asp_sp_1;Asp_sp
asp_sp_2;Asp_sp
asp_sp_3;Asp_sp
asp_sp_4;Asp_sp
cis_lib_1;Cis_lib
cyt_gran_1;Cyt_gran
cyt_gran_10;Cyt_gran
cyt_gran_11;Cyt_gran
cyt_gran_12;Cyt_gran
cyt_gran_13;Cyt_gran
cyt_gran_14;Cyt_gran
cyt_gran_15;Cyt_gran
cyt_gran_16;Cyt_gran
cyt_gran_17;Cyt_gran
cyt_gran_18;Cyt_gran
cyt_gran_19;Cyt_gran
cyt_gran_2;Cyt_gran
cyt_gran_20;Cyt_gran
cyt_gran_21;Cyt_gran
cyt_gran_22;Cyt_gran
cyt_gran_23;Cyt_gran
cyt_gran_24;Cyt_gran
cyt_gran_25;Cyt_gran
cyt_gran_26;Cyt_gran
cyt_gran_27;Cyt_gran
cyt_gran_28;Cyt_gran
cyt_gran_29;Cyt_gran
cyt_gran_3;Cyt_gran
cyt_gran_30;Cyt_gran
cyt_gran_31;Cyt_gran
cyt_gran_32;Cyt_gran
cyt_gran_33;Cyt_gran
cyt_gran_34;Cyt_gran
cyt_gran_35;Cyt_gran
cyt_gran_36;Cyt_gran
cyt_gran_37;Cyt_gran
